"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.248229,0.950999,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.176277,0.205687,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.996384,0.206147,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.949520,0.246351,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.126831,0.257337,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.868003,0.161844,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.081784,0.282089,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.892027,0.305102,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.158248,0.205783,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.174803,0.320073,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.979864,0.229936,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,4.382724,0.189333,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.950443,0.289948,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,4.617041,0.268596,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,4.127695,0.326457,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,4.276521,0.234667,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,4.158294,0.178764,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,4.361813,0.265810,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.976860,0.254307,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,3.806551,0.196332,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.670721,0.151999,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.679092,0.184119,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.358556,0.114550,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.520716,0.170133,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.789883,0.198292,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.511013,0.219009,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.506306,0.222899,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.556025,0.191991,"ms/op",OR10x100-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.794817,0.133264,"ms/op",OR10x100-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.846044,0.161507,"ms/op",OR10x100-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,33.648756,2.500584,"ms/op",OR10x250-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,29.287292,2.084213,"ms/op",OR10x250-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,32.978645,2.003491,"ms/op",OR10x250-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,34.487721,2.407740,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,32.542213,2.234789,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,32.303952,2.205261,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,30.720844,2.156021,"ms/op",OR10x250-,0.25,_7
