"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.406810,1.989440,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.945468,1.137134,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.143743,0.818469,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,6.732203,0.939080,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.315793,0.981981,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,6.517245,0.714890,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.425232,1.349605,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,6.521422,1.041982,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.458068,1.022877,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.722162,1.358855,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,12.104341,1.605785,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,13.274417,1.341585,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,10.901855,1.879538,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,14.942478,2.260016,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,12.972026,2.186248,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,12.340736,1.311795,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,13.076371,1.821585,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,12.798643,1.800243,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,11.820420,0.887944,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,11.129867,1.312171,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,8.293530,1.072103,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,8.702825,1.605260,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.239421,0.986709,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.757660,1.364432,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,9.493638,1.398171,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.725663,1.084759,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.530618,1.302349,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,7.579626,1.131473,"ms/op",OR10x100-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,9.261451,1.154972,"ms/op",OR10x100-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,9.318413,1.511825,"ms/op",OR10x100-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,131.165562,11.020576,"ms/op",OR10x250-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,114.605624,19.931950,"ms/op",OR10x250-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,122.597594,18.191969,"ms/op",OR10x250-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,140.217796,10.774271,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,128.545255,17.708675,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,124.700073,18.264865,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,109.284000,16.585819,"ms/op",OR10x250-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,136.483164,22.679804,"ms/op",OR10x250-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,124.331325,15.977536,"ms/op",OR10x250-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,116.800440,21.016053,"ms/op",OR10x250-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,183.574933,26.133332,"ms/op",OR10x250-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,198.100123,23.342725,"ms/op",OR10x250-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,202.884890,26.900848,"ms/op",OR10x250-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,188.740436,24.443860,"ms/op",OR10x250-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,192.542520,24.550438,"ms/op",OR10x250-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,212.655439,31.434087,"ms/op",OR10x250-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,194.515192,22.796928,"ms/op",OR10x250-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,193.836817,22.200364,"ms/op",OR10x250-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,186.392730,18.211988,"ms/op",OR10x250-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,215.455682,31.377777,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,117.366699,14.816062,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,125.403801,14.744393,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,130.305158,14.949217,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,116.724564,15.745494,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,130.299064,16.301446,"ms/op",OR10x250-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,116.339249,11.653067,"ms/op",OR10x250-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,125.027474,13.210914,"ms/op",OR10x250-,0.75,_7
