"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.029562,0.001739,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.029598,0.000059,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.029598,0.000075,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028355,0.001695,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027022,0.002291,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.026484,0.002060,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028445,0.001060,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027885,0.001913,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027050,0.002354,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028441,0.001138,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027788,0.002124,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027838,0.001969,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027733,0.001637,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028395,0.001085,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027713,0.002018,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.026677,0.002175,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028176,0.001526,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028148,0.001352,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028988,0.000130,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027490,0.001766,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027732,0.002050,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027026,0.002275,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027967,0.001867,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.028577,0.000723,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027656,0.001864,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027414,0.001851,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.027851,0.001805,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.029212,0.000278,"ms/op",OR10x100-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.029359,0.000098,"ms/op",OR10x100-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.029383,0.000049,"ms/op",OR10x100-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.073861,0.000153,"ms/op",OR10x250-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.073747,0.000155,"ms/op",OR10x250-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.073842,0.000158,"ms/op",OR10x250-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.073883,0.000161,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.073889,0.000127,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.074045,0.000304,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.074007,0.000184,"ms/op",OR10x250-,0.25,_7
