"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251413.930528,1045.325297,"ms/op",OR10x250-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251269.462095,1098.160029,"ms/op",OR10x250-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251344.621461,1061.944102,"ms/op",OR10x250-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251485.855439,1303.529659,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251334.458126,961.648178,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251349.362291,1137.864789,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251386.949346,930.596920,"ms/op",OR10x250-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251431.076112,899.446483,"ms/op",OR10x250-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251386.955246,1161.891750,"ms/op",OR10x250-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251320.239400,1014.032757,"ms/op",OR10x250-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251664.218308,1196.555005,"ms/op",OR10x250-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251660.135218,1110.122094,"ms/op",OR10x250-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251645.132124,1072.549870,"ms/op",OR10x250-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251688.662490,892.293857,"ms/op",OR10x250-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251660.483379,1375.947982,"ms/op",OR10x250-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251678.742810,890.026886,"ms/op",OR10x250-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251648.315118,1207.703108,"ms/op",OR10x250-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251705.197219,799.994892,"ms/op",OR10x250-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251626.317074,1318.189707,"ms/op",OR10x250-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251742.984551,1040.559574,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251013.513798,893.153585,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,250978.480279,1129.806952,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251026.434327,1043.757926,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251065.863223,1347.956198,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251065.041664,1124.537543,"ms/op",OR10x250-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,250957.101092,993.358275,"ms/op",OR10x250-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,251030.181984,966.578881,"ms/op",OR10x250-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,250985.630521,1115.315662,"ms/op",OR10x250-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,250934.140235,943.849225,"ms/op",OR10x250-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x250Instances","avgt",1,5,250960.680456,1033.872048,"ms/op",OR10x250-,0.75,_10
