"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100001.902496,6.074449,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.276973,11.893526,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100000.950381,5.632725,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.604852,8.828603,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.018206,6.459912,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.749188,9.525884,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.242824,10.604189,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.029290,15.026770,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.027088,7.882932,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100001.842169,9.575480,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.722147,14.559745,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.073456,6.536551,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.389798,7.466144,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.173262,10.456324,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.020356,11.100770,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.583938,7.194703,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100001.676482,4.665265,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100005.130714,3.611599,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.207778,8.134573,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.529118,11.233872,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.168493,5.340502,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.826128,10.170550,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.424363,9.995784,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.554711,10.667953,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100002.297579,8.123837,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100004.011748,4.917030,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100001.347534,5.309409,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.420600,6.782117,"ms/op",OR10x100-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100003.212056,11.506060,"ms/op",OR10x100-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x100Instances","avgt",1,5,100001.562844,6.248050,"ms/op",OR10x100-,0.75,_10
