"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,3.793765,0.588778,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,4.281830,0.760023,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,3.894737,0.530385,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,3.696358,0.413037,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,4.037990,0.860730,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,3.532425,0.399386,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,5.933546,1.113739,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,3.585448,0.488013,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,4.068618,0.675180,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,4.130522,0.766639,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,6.483864,0.754466,"ms/op",OR10x100-,0.50,_1
