"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015900,0.001533,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015817,0.001631,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.017189,0.001758,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015756,0.001573,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015763,0.001595,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.016068,0.001656,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015843,0.001678,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015306,0.001842,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015250,0.001517,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015392,0.001834,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015157,0.001494,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015453,0.001764,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015952,0.001480,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015380,0.001541,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015304,0.001765,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015212,0.001556,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015394,0.001497,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015350,0.001553,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.014601,0.001730,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015253,0.001702,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.022082,0.002021,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015224,0.001623,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015057,0.001568,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015717,0.001663,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015487,0.001707,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015425,0.001771,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015912,0.001699,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.aTestRandomCH","avgt",1,15,0.015736,0.001483,"ms/op",OR10x100-,0.75,_8
