"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.614343,0.179485,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.664750,0.207891,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.576044,0.192455,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.555052,0.093876,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.730061,0.256245,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.508076,0.155781,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.715316,0.235086,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.534445,0.112951,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.741541,0.193174,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.773013,0.223168,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.132833,0.182356,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.381378,0.347728,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.077263,0.252917,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.493288,0.319678,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.177632,0.372950,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.263659,0.278523,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.218667,0.245518,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.298230,0.322086,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,2.119801,0.264577,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.997642,0.239954,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.510870,0.169356,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.427906,0.209972,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.358531,0.118121,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.327877,0.198123,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.498811,0.184371,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.305316,0.257825,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.298096,0.259030,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.311996,0.174215,"ms/op",OR10x100-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.532584,0.214916,"ms/op",OR10x100-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,1.524020,0.202133,"ms/op",OR10x100-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,19.221703,1.853102,"ms/op",OR10x250-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,16.808871,1.877473,"ms/op",OR10x250-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,17.781034,2.144444,"ms/op",OR10x250-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,19.044872,1.369338,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,17.683645,2.434968,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,18.512295,1.923035,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,17.187295,1.660359,"ms/op",OR10x250-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,18.705679,1.875683,"ms/op",OR10x250-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,19.218206,1.689932,"ms/op",OR10x250-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,17.914835,1.649887,"ms/op",OR10x250-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,21.337564,1.935896,"ms/op",OR10x250-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,22.224592,2.937967,"ms/op",OR10x250-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,22.764898,1.696768,"ms/op",OR10x250-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,21.311861,2.148425,"ms/op",OR10x250-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,20.600116,2.362948,"ms/op",OR10x250-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,21.617843,3.797267,"ms/op",OR10x250-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,21.080932,2.392618,"ms/op",OR10x250-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,21.037341,2.245017,"ms/op",OR10x250-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,20.616914,2.041402,"ms/op",OR10x250-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,22.365306,1.869858,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,11.917798,1.463389,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,12.930546,1.854336,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,12.897559,1.241639,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,12.128079,1.273994,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.gTestRandomFI","avgt",1,15,12.936212,1.964824,"ms/op",OR10x250-,0.75,_5
